"input"	"briefDescription"
"WBGene00008414"	"D2030.4 encodes the C. elegans ortholog of the NDUFB7/B18 subunit of the mitochondrial NADH dehydrogenase (ubiquinone) complex (complex I)."
"WBGene00016943"	"acdh-1 encodes a short-chain acyl-CoA dehydrogenase; ACDH-1 is predicted to be a mitochondrial enzyme that catalyzes the first step of fatty acid beta-oxidation and thus plays a key role in energy production; steady-state acdh-1 mRNA levels are under the control of the MDT-15 mediator complex subunit; in addition, gene expression studies indicate that acdh-1 expression is upregulated in daf-2 mutant animals, but downregulated in fasted animals; loss of acdh-1 activity via RNAi can shorten lifespan."
"WBGene00008459"	"E02H1.8 encodes an ortholog of human mitochondrial ribosomal protein L53 (MRPL53); E02H1.8 is coexpressed with pme-2 in an operon, and thus, like PME-2, may function in DNA repair."
"WBGene00004015"	"phb-2 encodes the C. elegans ortholog of prohibitin PHB2; loss of phb-2 activity via RNAi indicates that phb-2 function is required for mitochondrial organization and morphology and for embryonic, germline, and somatic gonad development; PHB-2, along with prohibitin subunit PHB-1, forms a macromolecular complex that localizes to mitochondrial membranes; PHB-1 and PHB-2 are dependent upon one another for stability: loss of either phb-1 or phb-2 activity via RNAi results in depletion of both protein products."
"WBGene00004014"	"phb-1 encodes the C. elegans ortholog of prohibitin PHB1; loss of phb-1 activity via RNAi indicates that phb-1 function is required for mitochondrial organization and morphology and for embryonic, germline, and somatic gonad development; PHB-1, along with prohibitin subunit PHB-2, forms a macromolecular complex that localizes to mitochondrial membranes; PHB-1 and PHB-2 are dependent upon one another for stability: loss of either phb-1 or phb-2 activity via RNAi results in depletion of both protein products."
"WBGene00004028"	"pif-1 encodes a DNA-dependent ATPase and 5'-3' DNA helicase orthologous to Saccharomyces Pif1p and vertebrate PIF1; by homology, PIF-1 is predicted to function in maintenance of both mitochondrial and nuclear genome integrity; PIF-1 is also predicted to function as a negative regulator of telomerase activity that acts by displacing telomerase from the ends of DNA; loss of pif-1 activity via RNAi results in induction of the mitochondrial unfolded protein response."
"WBGene00004092"	"ppt-1 encodes the C. elegans palmitoyl protein thioesterase-1 ortholog; by homology PPT-1 is predicted to function in degradation of palmitoylated proteins and ppt-1 mutations result in loss of enzymatic activity from mixed-stage extracts; in C. elegans, ppt-1 activity is essential for mitochondrial organization and biogenesis in neuronal and muscle cells, as well as for proper timing of the onset of both the L4-to-adult molt and egg laying; ppt-1 is also required for normal egg-laying behavior and for a fully normal adult"
"WBGene00014172"	"clpp-1 encodes a mitochondrial protein, homologous to bacterial ClpP,  required to initiate the stress response to unfolded mitochondrial  proteins; as with its bacterial ortholog, CLPP-1 is predicted to be a  proteolytic subunit of a Clp-like protease, with an N-terminal region  required for mitochondrial localization, and a C-terminal region of ClpP  similarity; in response to a mutation stressing mitochondria,  clpp-1(RNAi) animals show reduced HSP-60 levels, inhibited nuclear  translocation and hsp-60 activation by DVE-1, and aberrant mitochondrial  morphology; CLPP-1 is biochemically inhibited by the ClpP inhibitor  Z-LY-CMK and the peptide aldehyde MG132, and may also be blocked by them  when injected in vivo; CLPP-1 is expressed in the intestine."
"WBGene00008857"	"F15D3.7 encodes the C. elegans ortholog of the mitochondrial import inner membrane translocase subunit Tim23; by homology, F15D3.7 is predicted to function in transit peptide-containing proteins across the mitochondrial inner membrane."
"WBGene00008860"	"rmo-1 encodes a small (82-residue) protein, orthologous to human  C20orf52/ROMO1 and budding yeast Mgr2p, that is required for viability  and fertility; by orthology with C20orf52/ROMO1, rmo-1 is predicted to  be a mitochondrial protein inducing the synthesis of reactive oxygen  species (ROS) from the mitochondrial respiratory chain and (indirectly,  via ROS production) promoting cell division."
"WBGene00020810"	"The T25G12.2 gene encodes a homolog of the human gene HSD, which when mutated leads to cortisol 11-beta ketoreductase deficiency (OMIM:218030); T25G12.2 protein is predicted to be mitochondrial with 68% accuracy."
"WBGene00014454"	"MTCE.7 encodes a mitochondrial 18s ribosomal RNA (rRNA)."
"WBGene00014472"	"MTCE.33 encodes a mitochondrial 23s ribosomal RNA (rRNA)."
"WBGene00020757"	"T24C4.1 encodes an ubiquinol-cytochrome C reductase complex core protein 2 ortholog, predicted by Eisenberg and coworkers to be mitochondrial, and required for germline maintenance in mass RNAi assays."
"WBGene00020679"	"The T22B11.5 gene encodes an ortholog of the human gene OGDH, which when mutated leads to alpha-ketoglutarate deficiency (OMIM:203740); the T22B11.5 protein is predicted to be mitochondrial with 68% accuracy."
"WBGene00020636"	"T20H4.5 gene encodes a 23 kDa subunit of mitochondrial complex I that is required for oxidative phosphorylation and for resistance to volatile anesthetics; T20H4.5 is orthologous to human NADH-Ubiquinone oxidoreductase Fe-S protein 8 (NDUFS8); RNA interference screens indicate that it may be involved in longevity."
"WBGene00022783"	"tomm-7 encodes the C. elegans member of the Tom7 family of  mitochondrial import proteins; TOMM-7 activity is required for normal mitochondrial morphology."
"WBGene00020417"	"nuo-2 encodes the C. elegans ortholog of the NDUFS3 subunit of mitochondrial complex I."
"WBGene00006968"	"yrs-1 encodes a tyrosinyl tRNA synthetase predicted to be mitochondrial."
"WBGene00006937"	"wah-1 encodes a putative flavin-adenine dinucleotide (FAD)-binding oxidoreductase orthologous to mammalian PDCD8 (AIF; OMIM:300169, mutated in Harlequin mice); WAH-1 is required for apoptotic DNA degratation, SCRM-1 phospholipid scramblase activity, phosphatidylserine exposure, rapid apoptosis during embryonic development, and rapid engulfment of apoptotic cells in the germline; WAH-1 is also required for normally rapid growth and large brood sizes, and has a subtle proapoptotic function revealed in ced-3 or ced-4 mutant backgrounds; WAH-1 is expressed in most, if not all, cells of embryos and larvae; WAH-1 is normally mitochondrial, but can be released into the cytosol and nucleus by EGL-1 and CED-3; residues 380-550 of WAH-1 specifically bind SCRM-1 in vitro, but not SCRM-2 through SCRM-4, and WAH-1 binding is required in liposomes for more than residual SCRM-1 activity; WAH-1 also binds and activates CPS-6, promoting apoptotic DNA degradation, and transgenic coexpression of WAH-1 with CPS-6 specifically induces ectopic CED-3-dependent apoptosis in touch receptor neurons; CPS-6 shares a genetic pathway with WAH-1, whereas CED-3, CED-4, CED-8, and NUC-1 act independently of it; WAH-1 is paralogous to C. elegans F20D6.11 and human AIFM3 (AIFL)."
"WBGene00010842"	"ymel-1 encodes an ortholog of human YME1L1 (OMIM:607472) and budding  yeast Yme1p; YMEL-1 can suppress the formation of alpha-synuclein  inclusions in older adults; on the basis of orthology, YMEL-1 is  predicted to be an AAA protease of the mitochondrial inner  membrane; however, YMEL-1 has no obvious function in mass RNAi assays."
"WBGene00010965"	"The ctc-2 gene resides on the mitochondrial chromosome, and encodes the protein cytochrome c oxidase subunit 2; cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water; CTC-2 is one of the 3 subunits (1-3) that forms the functional core of the enzyme complex."
"WBGene00010964"	"The ctc-1 gene resides on the mitochondrial chromosome, and encodes the protein cytochrome c oxidase subunit 1; CTC-1 functions as the catalytic subunit of the cytochrome c oxidase complex (also known as Complex IV) that is the terminal member of the electron transport chain that catalyzes the reduction of oxygen to water."
"WBGene00010967"	"The nduo-5 gene resides on the mitochondrial chromosome, and encodes the protein NADH-ubiquinone oxidoreductase chain 5; this is the C. elegans homolog of the core MT-ND5 of mitochondrial NADH:ubiquinone oxidoreductase (Complex I)."
"WBGene00010966"	"The nduo-3 gene resides on the mitochondrial chromosome, and encodes the protein NADH-ubiquinone oxidoreductase chain 3; this is the C. elegans homolog of the core MT-ND3 of mitochondrial NADH:ubiquinone oxidoreductase (Complex I)."
"WBGene00010961"	"The nduo-2 gene resides on the mitochondrial chromosome, and encodes the protein NADH-ubiquinone oxidoreductase chain 2; this is the C. elegans homolog of the core MT-ND2 subunit of mitochondrial NADH:ubiquinone oxidoreductase (Complex I); the sequence of C. elegans NDUO-2, like other bilaterian ND2 sequences, is truncated at its N-terminus when compared to other organisms."
"WBGene00010960"	"The atp-6 gene resides on the mitochondrial chromosome, and encodes the protein ATP synthase subunit a; this is the C. elegans homolog of the MT-ATP6 mitochondrial membrane ATP synthase (Complex V)."
"WBGene00010963"	"The nduo-4 gene resides on the mitochondrial chromosome, and encodes the protein NADH-ubiquinone oxidoreductase chain 4; this is the C. elegans homolog of the core MT-ND4 subunit of mitochondrial NADH:ubiquinone oxidoreductase (Complex I)."
"WBGene00010962"	"The ctc-3 gene resides on the mitochondrial chromosome, and encodes the protein cytochrome c oxidase subunit 3; cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water; CTC-3 is one of the 3 subunits (1-3) that forms the functional core of the enzyme complex."
"WBGene00010959"	"The nduo-1 gene resides on the mitochondrial chromosome, and encodes the protein NADH-ubiquinone oxidoreductase chain 1; this is the C. elegans homolog of the core MT-ND1 of mitochondrial NADH:ubiquinone oxidoreductase (Complex I)."
"WBGene00010957"	"The nduo-6 gene resides on the mitochondrial chromosome, and encodes the protein NADH-ubiquinone oxidoreductase chain 6; this is the C. elegans homolog of the core MT-ND6 of mitochondrial NADH:ubiquinone oxidoreductase (Complex I)."
"WBGene00010958"	"The ndfl-4 gene resides on the mitochondrial chromosome, and encodes the protein NADH-ubiquinone oxidoreductase chain 4L; this is the C. elegans homolog of the core MT-ND4L of mitochondrial NADH:ubiquinone oxidoreductase (Complex I)."
"WBGene00010905"	"mrps-34 encodes the C. elegans homolog of the S34 subunit of the mitochondrial 28S ribosome; loss of mrps-34 activity via RNAi results in L1 larvae that contain a short pharynx."
"WBGene00006729"	"ucp-4 encodes an uncoupling protein related to mammalian mitochondrial uncoupling protein 4 (UCP4) also known as solute carrier family 25, member 27 (SLC25A27); UCP-4 is predicted to function to uncouple ATP production from electron transport and, consistent with this, ucp-4 mutant animals contain elevated ATP levels; ucp-4 activity is also required for normal rates of survival in response to cold treatment; a ucp-4::gfp promoter fusion is expressed in head and body wall muscles and in the pharynx."
"WBGene00006726"	"ubl-5 encodes a ubiquitin-like protein orthologous to human ubiquitin-like protein UBL5; UBL-5 activity is required for normal mitochondrial morphology as well as for assembly of mitochondrial multi-protein complexes; in addition, UBL-5 is essential for the mitochondrial unfolded protein response (UPRmt); in adult animals, ubl-5 is expressed at low levels in most tissues, with slightly higher levels seen in the intestine, particularly the posterior region, and the pharynx; UBL-5 localizes to the cytosol and to the nucleus, with nuclear levels increased upon induction of the UPRmt."
"WBGene00020140"	"ant-1.4 encodes an ortholog of the human adenine nucleotide translocase ANT genes, the other ANT genes in C. elegans include ant-1.1, ant-1.2 and ant-1.3; phylogenetic analysis indicates that ant-1.4 is specific to C. elegans, resulting from a recent duplication following the speciation of the common ancestor of C. elegans, C. briggsae, and C. remanei; by homology, ANT-1.4 is predicted to mediate the exchange of ATP generated in the mitochondria for cytosolic ADP; ANT-1.4 GFP fusion protein is expressed in a pair of head neurons, amphid socket and sheath cells and in a few body-wall muscle and vulval muscle cells."
"WBGene00006572"	"tin-9.1 encodes one of two C. elegans members of the Tin9 family of mitochondrial import proteins; TIN-9.1 activity is required for protein import into the mitochondrial inner membrane; TIN-9.1 is also required for normal fertility, embryonic development, body size, and time of reproductive onset."
"WBGene00006573"	"tin-10 encodes the C. elegans member of the Tin10/12 family of mitochondrial import proteins; TIN-10 activity is required for protein import into the mitochondrial inner membrane; TIN-10 is also required for normal fertility, embryonic development, body size, and time of reproductive onset."
"WBGene00006565"	"tfg-1 encodes a tumor suppressor gene homologous to human TRK-fused gene (TFG)(OMIM: 602498); TFG-1 is sufficient and necessary to inhibit the normal apoptotic pathway; TFG-1 influences body size and responsible for determining the size of adults; TFG-1 functions in a novel pathway independent of TGF-beta; and insulin signaling to control cell growth and size;  TFG-1 directly interacts with SEC-16 and controls COPII subunit accumulation at the endoplasmic reticulum exit sites; TFG-1 requires SEC-16 for its localization and SEC-16 requires TFG-1 to accumulate normally on endoplasmic reticulum exit sites; TFG-1 hexamers facilitates normal assembly of large complexes containing SEC-16 and COPII subunits; TFG-1 depletion leads to a defect in normal Golgi assembly; analogously to C. elegans TFG-1, human TFG functions at endoplasmic reticulum exit sites; TFG-1 is detectable as early as the two cell stage of embryogenesis and expression continues throughout embryogenesis, punctated pattern in cytoplasm colocalizing with mitochondrial COX1."
"WBGene00006566"	"tgt-1 encodes a tRNA-guanine transglycosylase predicted to be mitochondrial."
"WBGene00020037"	"mrps-6 encodes the C. elegans ortholog of mitochondrial ribosomal protein S6."
"WBGene00006518"	"tag-173/F27D4.5 is orthologous to the human gene BRANCHED CHAIN KETO ACID DEHYDROGENASE E1, ALPHA POLYPEPTIDE (BCKDHB; OMIM:248600), which when mutated leads to maple syrup urine disease, type 1a; F27D4.5 protein is predicted to be mitochondrial."
"WBGene00012713"	"Y39E4A.3 is orthologous to the human gene MAPLE SYRUP URINE DISEASE, TYPE IA (MSUD, TYPE IA; E1-alpha subunit of branched-chain keto acid dehydrogenase; OMIM:248600), which when mutated leads to maple syrup urine disease; Y39E4A.3 protein is predicted to be mitochondrial."
"WBGene00010485"	"ant-1.3 encodes an ortholog of the human adenine nucleotide translocase ANT genes, the other ANT genes in C. elegans include ant-1.1, ant-1.2 and ant-1.4; by homology, ANT-1.3 is predicted to mediate the exchange of ATP generated in the mitochondria for cytosolic ADP; ANT-1.3 GFP fusion protein is expressed in the intestine and the anterior of the elongating embryo, and in a pair of head neurons and a ventral neuron in the larval and adult stages."
"WBGene00012692"	"Y39B6A.33 encodes the C. elegans ortholog of mammalian GLTSCR2/PICT1 (GLioma Tumor Suppressor Candidate Region gene 2/Protein Interacting with the C Terminus-1); loss of Y39B6A.33 activity via RNAi results in lower oxygen consumption rates, suggesting that Y39B6A.33 plays a role in positively regulating mitochondrial respiration rates; in body wall muscle cells, Y39B6A.33 localizes to the nucleolus."
"WBGene00012543"	"The Y37A1C.1 gene encodes a homolog of the human gene NKCC2, which when mutated leads to hypokalemicalkalosis (OMIM:241200); the Y37A1C.1A protein is predicted to be mitochondrial with 52% accuracy."
"WBGene00010419"	"H28O16.1 encodes the C. elegans ortholog of the alpha subunit of mitochondrial ATP synthase."
"WBGene00012553"	"cco-2 encodes the C. elegans ortholog of the cytochrome c oxidase (COX) subunit Va (COX Va); loss of cco-2 activity via RNAi results in a shortened life span, reduced fertility, and defects in mitochondrial respiratory chain function."
"WBGene00010478"	"The K01G5.5 gene encodes an ortholog of human DYSKERIN (DKC1; OMIM:300126), which when mutated leads to X-linked dyskeratosis congenita (OMIM:305000); the K01G5.5 protein is predicted to be mitochondrial with 68% accuracy."
"WBGene00010340"	"slcf-1 encodes a plasma membrane transporter that is a member of the conserved monocarboxylate transporter family; loss of SLCF-1 function results in altered mitochondrial metabolism, reactive oxygen species accumulation, and increased lifespan that mimics dietary restriction; an SLCF-1::GFP reporter fusion is expressed in intestinal cells during embryonic, larval and adult stages and localizes to the basolateral plasma membrane."
"WBGene00012354"	"W09C5.8 encodes the C. elegans ortholog of the cytochrome c oxidase (COX) subunit IV (COX IV); loss of W09C5.8 activity via RNAi results in a shortened life span, reduced fertility, and defects in mitochondrial respiratory chain function."
"WBGene00010015"	"atad-3 encodes the ortholog of the vertebrate mitochondrial protein ATAD3; both vertebrate and elegans ATAD-3 contain the conserved AAA (ATPases associated with a variety of cellular activities) domain; atad-3 is required for normal mitochondrial morphology and activity as atad-3 mutants show reduced complex I and citrate synthase activities; atad-3 is also required for embryonic and larval development; ATAD-3 localizes to mitochondria."
"WBGene00010042"	"F54C9.6 encodes a protein orthologous to the human mitochondrial protein BCS1 (YEAST HOMOLOG)-LIKE (BCS1L; OMIM:603647); mutation of BCS1L leads to neonatal tubulopathy, encephalopathy, and liver failure, or to GRACILE syndrome."
"WBGene00010038"	"rheb-1 encodes a GTPase orthologous to the mammalian Rheb and Rheb1 GTPases; by homology, RHEB-1 is predicted to function as a regulator of LET_363/TOR function; in C. elegans, rheb-1 plays an essential role in mediating intermittent fasting (IF)-induced longevity; further, loss of rheb-1 activity via RNAi indicates that rheb-1 is involved in the mitochondrial unfolded protein response and that its function is required for normal growth rates, body size, osmoregulation, reproduction, and locomotion."
"WBGene00010094"	"F55C5.5 encodes a translational elongation factor Ts (EF-Ts) that binds two different EF-Tu proteins (EF-TU1/Y71H2AM.23 and EF-TU2/C43E11.4) in vitro, stimulating guanine-nucleotide exchange and mRNA translation; F55C5.5 is predicted to be mitochondrial and has a putative N-terminal transit peptide sequence; F55C5.5 is required in mass RNAi assays for normally rapid growth and for maintenance of the germline."
"WBGene00019880"	"R05D3.6 encodes the epsilon subunit of the soluble, catalytic F1 portion of ATP synthase (mitochondrial respiratory chain [MRC] complex V); RNAi experiments indicate that loss of R05D3.6 activity has minor effects on growth rate."
"WBGene00019941"	"pgam-5 encodes a phosphoglycerate mutase that uses alternate catalytic activity as a protein serine/threonine phosphatase; PGAM-5 physically interacts with the SKN-1 transcription factor in a directed yeast two-hybrid assay as well as in vitro coimmunoprecipitation studies; based on sequence similarity, PGAM-5 is predicted to be a mitochondrial outer membrane protein."
"WBGene00022491"	"Y119D3B.14 encodes the the C. elegans ortholog of mitochondrial translation elongation factor G2 (EFG2), a GTP-binding protein essential for the elongation phase of protein synthesis; loss of Y119D3B.14 activity via RNAi in a wild-type background results in embryonic and larval lethality, sterility, body morphology defects, and slow growth rates."
"WBGene00001811"	"haf-1 encodes a transmembrane protein that is a member of the ATP-binding cassette (ABC) transporter superfamily; HAF-1 transporter activity is required for peptide transport and functions as part of the mitochondrial unfolded protein response (UPRmt) signaling pathway; as part of the UPRmt, HAF-1 functions upstream of the ATFS-1 bZip transcription factor that partitions between the mitochondrion, where it is degraded under normal conditions, and the nucleus, where it localizes in response to the UPRmt; HAF-1 localizes to the the inner mitochondrial membrane."
"WBGene00017137"	"pink-1 encodes a predicted serine/threonine kinase that is most similar to the Drosophila and human PINK1 (PTEN-induced kinase-1) protein kinases, the latter of which has been implicated in familial forms of Parkinson's disease; in C. elegans, pink-1 activity is required for normal response to oxidative stress, mitochondrial homeostasis, proper CAN neurite outgrowth, and wild type brood sizes; pink-1 mutant phenotypes are suppressed by mutations in lrk-1, which encodes the C. elegans ortholog of the GTPase-regulated kinase  LRRK2, while lrk-1 sensitivity to tunicamycin is suppressed by loss of pink-1; a PINK-1::GFP is broadly expressed in neurons, musculature and vulval tissues in larvae and adults and localizes to both the cytoplasm and the mitochondria."
"WBGene00017125"	"E04F6.5 is orthologous to the human gene ACYL-CoA DEHYDROGENASE, VERY LONG-CHAIN (OMIM:201475), which when mutated leads to VLCAD deficiency, an inborn error of mitochondrial beta-oxidation."
"WBGene00001740"	"gro-1 encodes two isoforms of the C. elegans isopentenylpyroptiosphate:tRNA transferase (IPT) ortholog; by homology, GRO-1 is predicted to function in modification of a subset of tRNAs; in C. elegans, a loss-of-function mutation in gro-1 results in delayed embryogenesis and postembryonic development, slower rates of adult behaviors, reduced brood size, and a genetic background-specific increase in adult life span; gro-1's effect on embryonic development exhibits a strict maternal effect; GRO-1::GFP fusion proteins are widely expressed and localize to the cytoplasm, nucleus, and mitochondria."
"WBGene00022281"	"abtm-1 encodes a protein orthologous to the highly conserved ABCB7 protein and has the typical ABC superfamily structure with six transmembrane domains and an ATP binding domain; ABCB7 is involved in the transport of iron-sulphur clusters into the cytoplasm and thus in iron homeostasis; abtm-1 is an essential gene and knock-down of abtm-1 via RNA interference results in pleiotropic phenotypes that include partial embryonic lethality, morphogenetic defects, premature apoptosis, increase in total iron content and daf-16/FOXO-dependent increase in life-span; ABTM-1 is a widely expressed mitochondrial protein."
"WBGene00017054"	"gstk-2 encodes one of two C. elegans kappa class glutathione transferases; while gstk-2(RNAi) animals exhibit no obvious developmental or morphological abnormalities, animals doubly mutant for gstk-2 and gstk-1 exhibit decreased respiration and  a lower concentration of the monounsaturated fatty acid cis-vaccenic acid; GSTK-2 is expressed primarily in the pharynx, muscles, and epidermis and localizes to mitochondria."
"WBGene00003778"	"nnt-1 encodes a proton-pumping nicotinamide nucleotide transhydrogenase predicted to be mitochondrial."
"WBGene00003767"	"nlp-29 encodes an antimicrobial, neuropeptide-like protein; nlp-29 appears to play a role in innate immunity, as its expression in the epidermis is strongly induced following fungal infection; nlp-29 expression is also induced following physical injury and osmotic stress; nlp-29 expression following fungal infection or physical wounding is regulated by a TIR-1, (Toll-interleukin 1 receptor (TIR) domain protein)/NSY-1/SEK-1/PMK-1 p38 MAPK signaling pathway and the ELT-3 GATA transcription factor; nlp-29 expression in the epidermis is also regulated by the SNF-12 sodium-dependent neurotransmitter symporter acting in concert with the STA-2 STAT transcription factor; the RAB-1 GTPase and the product of R53.4, a mitochondrial ATP synthase subunit f homolog, also appear to play a role in nlp-29 regulation; several reports indicate that nlp-29 is expressed exclusively in the hypodermis, while one report additionally reported expression in the intestine."
"WBGene00015184"	"djr-1.1 encodes a glyoxylase orthologous to human DJ-1 (OMIM:602533, mutated in early-onset Parkinson disease); DJR-1.1 is required for resistance to rotenone, a mitochondrial complex I inhibitor that mimics Parkinson disease (PD); djr-1.1(RNAi) animals are partly rescued from PD-like sensitivity by D-beta-hydroxybutyrate or tauroursodeoxycholic acid, and fully rescued by both; by orthology with DJ-1, DJR-1.1 may promote stability of the transcription factors SKN-1 or SKNR-1 (homologs of mammalian NFE2L2); DJR-1.1 is expressed primarily in the intestine and localizes to the nucleus and the cytoplasm."
"WBGene00017261"	"acl-6 encodes a mitochondrial glycerol-3-phosphate acyltransferase; acl-6 is predicted to play a role in triacylglycerol biosynthesis, and acl-6 expression is upregulated in animals during dauer larval development in response to direct exposure to daumone."
"WBGene00001424"	"fis-1 encodes a protein similar to the yeast and human Fis1 proteins involved in mitochondrial fission; fis-1 does not seem to be required for mitochondrial fission in C. elegans, but it is possible that it may function redundantly along with fis-2 and other genes; fis-1 expression is enriched in the germline."
"WBGene00001425"	"fis-2 encodes a protein similar to the yeast and human Fis1 proteins involved in mitochondrial fission; fis-2 functions downstream of, or in parallel to, the ced-3 caspase during apoptosis and does not seem to be required for mitochondrial fission but it is possible that it may function redundantly along with fis-1 and other genes; the fis-2 protein localizes to mitochondria."
"WBGene00001486"	"frh-1 encodes the C. elegans frataxin ortholog; by homology, FRH-1 is predicted to be a mitochondrial protein required for biogenesis of iron-sulfur clusters, co-factors necessary for proper function of electron transport chain proteins; in C. elegans, loss of frh-1 activity via RNAi results in small body size, pale coloration, reduced motility, decreased pharyngeal pumping and defecation, reduced egg-laying and fertility, hypersensitivity to oxidative stress, and altered adult lifespan; an frh-1::gfp promoter fusion is expressed in neurons, the pharynx, gut, spermatheca and body wall muscle; in the pharynx, FRH-1 localizes to the mitochondria."
"WBGene00001503"	"fum-1 is orthologous to human FUMARASE (FH; OMIM:136850), which when mutated leads to fumarase deficiency; FUM-1A and FUM-1B are predicted to be mitochondrial."
"WBGene00001509"	"fzo-1 encodes a GTPase orthologous to MFN1(Mitofusin)/FZO1, a conserved mitochondrial transmembrane protein essential for mitochondrial fusion; in C. elegans, fzo-1 is also required for mitochondrial fusion and organization and accordingly, is essential for reproduction, embryonic development, and normal growth rates."
